Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\LaueDiffraction\MgO_50degree_7,5min.mca
Description:  
TimeStamp:  11/18/2019 13:52:07

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	2
40	1
41	1
42	3
43	3
44	2
45	0
46	1
47	1
48	1
49	1
50	0
51	0
52	1
53	1
54	0
55	1
56	0
57	0
58	1
59	0
60	1
61	2
62	1
63	0
64	1
65	0
66	1
67	3
68	1
69	1
70	0
71	1
72	0
73	0
74	1
75	0
76	1
77	0
78	2
79	1
80	0
81	0
82	0
83	1
84	0
85	0
86	3
87	0
88	0
89	0
90	2
91	0
92	0
93	1
94	2
95	1
96	1
97	6
98	0
99	1
100	1
101	1
102	2
103	2
104	2
105	1
106	1
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	1
115	0
116	0
117	1
118	1
119	2
120	0
121	0
122	1
123	0
124	0
125	1
126	0
127	0
128	0
129	1
130	0
131	1
132	1
133	0
134	1
135	0
136	0
137	0
138	1
139	0
140	0
141	0
142	0
143	0
144	2
145	1
146	0
147	1
148	1
149	3
150	4
151	4
152	4
153	1
154	2
155	6
156	9
157	37
158	57
159	147
160	193
161	191
162	118
163	71
164	14
165	10
166	3
167	1
168	2
169	2
170	0
171	3
172	11
173	10
174	18
175	26
176	27
177	24
178	15
179	5
180	0
181	0
182	1
183	1
184	1
185	0
186	2
187	0
188	1
189	1
190	4
191	1
192	3
193	1
194	3
195	0
196	1
197	3
198	3
199	1
200	6
201	9
202	34
203	84
204	190
205	338
206	546
207	689
208	566
209	370
210	168
211	78
212	15
213	3
214	3
215	0
216	3
217	4
218	3
219	1
220	3
221	5
222	5
223	7
224	13
225	30
226	53
227	87
228	97
229	77
230	71
231	32
232	16
233	5
234	5
235	3
236	1
237	3
238	0
239	2
240	4
241	5
242	2
243	6
244	10
245	11
246	11
247	13
248	15
249	19
250	32
251	37
252	74
253	74
254	85
255	107
256	110
257	131
258	139
259	187
260	167
261	135
262	88
263	53
264	25
265	11
266	6
267	4
268	2
269	1
270	3
271	4
272	7
273	3
274	8
275	2
276	11
277	7
278	15
279	16
280	21
281	17
282	33
283	26
284	34
285	27
286	32
287	31
288	26
289	19
290	13
291	14
292	6
293	3
294	1
295	2
296	2
297	6
298	3
299	1
300	2
301	6
302	2
303	1
304	1
305	4
306	4
307	0
308	5
309	2
310	3
311	1
312	2
313	2
314	1
315	3
316	2
317	7
318	2
319	3
320	3
321	3
322	3
323	2
324	5
325	4
326	4
327	2
328	4
329	4
330	6
331	3
332	2
333	3
334	2
335	3
336	6
337	6
338	3
339	9
340	4
341	3
342	3
343	6
344	3
345	7
346	2
347	1
348	3
349	3
350	4
351	4
352	2
353	4
354	4
355	9
356	7
357	1
358	3
359	5
360	2
361	4
362	2
363	6
364	2
365	7
366	5
367	9
368	3
369	7
370	10
371	5
372	7
373	2
374	3
375	6
376	5
377	1
378	6
379	4
380	5
381	9
382	6
383	7
384	7
385	7
386	3
387	8
388	5
389	2
390	6
391	10
392	7
393	2
394	2
395	4
396	0
397	9
398	16
399	7
400	9
401	5
402	7
403	8
404	6
405	7
406	4
407	4
408	8
409	10
410	5
411	5
412	3
413	5
414	5
415	10
416	10
417	3
418	11
419	9
420	5
421	9
422	10
423	5
424	13
425	3
426	6
427	10
428	15
429	5
430	5
431	9
432	9
433	5
434	8
435	7
436	5
437	5
438	13
439	13
440	8
441	7
442	6
443	11
444	5
445	13
446	7
447	11
448	10
449	9
450	7
451	5
452	11
453	7
454	6
455	9
456	4
457	5
458	12
459	8
460	8
461	6
462	6
463	7
464	6
465	4
466	10
467	8
468	8
469	5
470	3
471	10
472	2
473	5
474	7
475	9
476	5
477	6
478	6
479	11
480	7
481	10
482	11
483	11
484	9
485	10
486	12
487	7
488	9
489	6
490	10
491	8
492	6
493	6
494	6
495	9
496	14
497	8
498	6
499	8
500	4
501	16
502	7
503	8
504	7
505	9
506	8
507	13
