Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\LaueDiffraction\Si_50degree_15min.mca
Description:  
TimeStamp:  11/18/2019 13:26:10

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	2
40	2
41	0
42	1
43	0
44	2
45	2
46	3
47	0
48	1
49	4
50	1
51	1
52	1
53	0
54	7
55	23
56	34
57	38
58	23
59	19
60	1
61	3
62	2
63	1
64	1
65	0
66	0
67	4
68	1
69	0
70	1
71	0
72	0
73	0
74	0
75	0
76	0
77	1
78	0
79	1
80	2
81	1
82	0
83	0
84	0
85	0
86	0
87	1
88	3
89	0
90	1
91	1
92	1
93	0
94	2
95	2
96	3
97	3
98	0
99	0
100	1
101	0
102	0
103	0
104	1
105	0
106	0
107	0
108	0
109	0
110	0
111	1
112	0
113	0
114	0
115	1
116	0
117	1
118	0
119	0
120	1
121	0
122	0
123	1
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	2
132	1
133	2
134	0
135	0
136	0
137	0
138	0
139	0
140	1
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	1
153	0
154	0
155	1
156	0
157	0
158	0
159	0
160	0
161	1
162	1
163	0
164	1
165	1
166	0
167	1
168	0
169	0
170	1
171	0
172	1
173	1
174	1
175	0
176	1
177	1
178	0
179	1
180	0
181	0
182	0
183	2
184	0
185	0
186	0
187	1
188	0
189	0
190	1
191	0
192	0
193	4
194	1
195	0
196	1
197	0
198	1
199	1
200	1
201	0
202	1
203	1
204	0
205	0
206	2
207	1
208	4
209	1
210	7
211	2
212	1
213	0
214	0
215	1
216	1
217	0
218	2
219	4
220	1
221	1
222	2
223	3
224	1
225	2
226	3
227	1
228	5
229	1
230	2
231	1
232	0
233	1
234	5
235	4
236	6
237	4
238	3
239	2
240	6
241	1
242	5
243	9
244	3
245	8
246	12
247	15
248	15
249	23
250	26
251	44
252	43
253	64
254	61
255	70
256	86
257	83
258	119
259	109
260	116
261	90
262	67
263	42
264	17
265	4
266	1
267	2
268	8
269	1
270	10
271	5
272	2
273	7
274	8
275	5
276	3
277	10
278	21
279	11
280	10
281	23
282	30
283	23
284	26
285	17
286	26
287	27
288	15
289	19
290	19
291	10
292	3
293	3
294	3
295	2
296	2
297	5
298	4
299	5
300	0
301	1
302	2
303	1
304	1
305	2
306	0
307	0
308	0
309	2
310	4
311	2
312	2
313	3
314	4
315	1
316	4
317	2
318	4
319	3
320	3
321	5
322	4
323	3
324	4
325	4
326	0
327	1
328	4
329	3
330	4
331	6
332	4
333	4
334	7
335	3
336	1
337	3
338	5
339	2
340	1
341	5
342	4
343	5
344	6
345	1
346	4
347	6
348	8
349	3
350	4
351	6
352	4
353	10
354	3
355	4
356	4
357	5
358	2
359	5
360	10
361	8
362	5
363	5
364	5
365	9
366	6
367	2
368	11
369	9
370	6
371	6
372	2
373	7
374	2
375	7
376	5
377	3
378	3
379	3
380	9
381	6
382	6
383	7
384	7
385	7
386	6
387	2
388	7
389	3
390	12
391	5
392	10
393	4
394	4
395	4
396	5
397	5
398	6
399	7
400	7
401	8
402	13
403	14
404	6
405	6
406	7
407	8
408	7
409	7
410	4
411	15
412	8
413	9
414	10
415	9
416	5
417	3
418	8
419	5
420	4
421	4
422	9
423	12
424	6
425	6
426	7
427	9
428	6
429	4
430	11
431	10
432	11
433	7
434	8
435	8
436	8
437	7
438	9
439	10
440	5
441	8
442	9
443	3
444	6
445	19
446	16
447	20
448	23
449	23
450	16
451	13
452	12
453	8
454	18
455	8
456	12
457	11
458	13
459	9
460	8
461	10
462	7
463	8
464	9
465	8
466	6
467	8
468	12
469	9
470	10
471	6
472	9
473	14
474	7
475	6
476	9
477	8
478	4
479	12
480	9
481	16
482	8
483	15
484	8
485	10
486	9
487	5
488	11
489	12
490	9
491	8
492	6
493	7
494	14
495	7
496	9
497	8
498	10
499	7
500	10
501	8
502	11
503	11
504	6
505	11
506	10
507	8
508	8
