Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\Absorbanter\Day 3\Absorber3\Absorber3.mca
Description:  
TimeStamp:  11/25/2019 12:48:06

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	27
40	48
41	39
42	39
43	41
44	39
45	40
46	35
47	43
48	49
49	38
50	35
51	33
52	45
53	38
54	31
55	38
56	48
57	45
58	47
59	19
60	41
61	41
62	45
63	44
64	36
65	41
66	29
67	52
68	38
69	42
70	34
71	40
72	36
73	45
74	39
75	45
76	41
77	44
78	39
79	32
80	36
81	40
82	24
83	37
84	47
85	40
86	37
87	32
88	36
89	31
90	37
91	31
92	42
93	30
94	29
95	24
96	30
97	24
98	22
99	31
100	19
101	31
102	30
103	26
104	11
105	20
106	24
107	18
108	23
109	28
110	19
111	23
112	15
113	14
114	19
115	15
116	14
117	18
118	15
119	15
120	10
121	20
122	13
123	11
124	12
125	14
126	10
127	9
128	10
129	12
130	12
131	6
132	6
133	9
134	8
135	8
136	12
137	10
138	9
139	8
140	7
141	1
142	4
143	4
144	8
145	7
146	8
147	5
148	4
149	7
150	10
151	2
152	5
153	10
154	4
155	3
156	3
157	4
158	8
159	6
160	3
161	5
162	2
163	8
164	9
165	6
166	1
167	2
168	4
169	3
170	3
171	3
172	2
173	3
174	4
175	2
176	2
177	2
178	1
179	4
180	5
181	1
182	1
183	1
184	2
185	0
186	0
187	1
188	2
189	3
190	5
191	0
192	4
193	4
194	1
195	3
196	2
197	6
198	2
199	2
200	1
201	1
202	2
203	1
204	2
205	6
206	3
207	4
208	3
209	0
210	1
211	1
212	4
213	4
214	2
215	0
216	5
217	3
218	2
219	1
220	1
221	3
222	5
223	4
224	3
225	2
226	2
227	1
228	4
229	2
230	2
231	3
232	1
233	4
234	0
235	0
236	1
237	0
238	3
239	0
240	0
241	4
242	5
243	1
244	2
245	5
246	0
247	0
248	3
249	1
250	2
251	1
252	2
253	3
254	1
255	7
256	14
257	19
258	31
259	47
260	56
261	33
262	34
263	14
264	4
265	6
266	1
267	3
268	5
269	3
270	2
271	2
272	3
273	1
274	5
275	2
276	6
277	7
278	6
279	5
280	8
281	13
282	8
283	20
284	21
285	62
286	79
287	117
288	109
289	93
290	69
291	35
292	28
293	8
294	7
295	3
296	1
297	4
298	1
299	2
300	2
301	3
302	2
303	5
304	4
305	4
306	5
307	5
308	2
309	3
310	4
311	6
312	3
313	9
314	9
315	8
316	6
317	3
318	8
319	12
320	3
321	8
322	13
323	7
324	11
325	10
326	7
327	6
328	8
329	7
330	9
331	15
332	15
333	24
334	15
335	18
336	13
337	20
338	10
339	23
340	12
341	22
342	19
343	17
344	11
345	17
346	29
347	28
348	26
349	20
350	25
351	21
352	31
353	27
354	34
355	35
356	32
357	26
358	29
359	43
360	33
361	38
362	36
363	37
364	46
365	49
366	41
367	59
368	49
369	44
370	56
371	53
372	56
373	51
374	64
375	48
376	55
377	70
378	53
379	70
380	65
381	77
382	72
383	46
384	43
385	26
386	13
387	11
388	7
389	2
390	3
391	3
392	0
393	3
394	2
395	0
396	2
397	1
398	3
399	2
400	2
401	2
402	3
403	1
404	2
405	4
406	1
407	3
408	2
409	2
410	1
411	0
412	2
413	6
414	3
415	6
416	4
417	5
418	5
419	4
420	3
421	7
422	3
423	3
424	3
425	6
426	7
427	2
428	5
429	7
430	8
431	3
432	3
433	8
434	5
435	6
436	7
437	4
438	10
439	4
440	7
441	5
442	6
443	4
444	3
445	4
446	5
447	1
448	0
449	4
450	3
451	1
452	0
453	0
454	1
455	2
456	0
457	1
458	3
459	0
460	2
461	0
462	0
463	0
464	2
465	0
466	1
467	5
468	0
469	3
470	1
471	2
472	3
473	4
474	1
475	2
476	4
477	2
478	1
479	1
480	4
481	4
482	1
483	0
484	1
485	4
486	2
487	2
488	3
489	4
490	4
491	8
492	6
493	2
494	4
495	0
496	5
497	5
498	3
499	3
500	3
501	5
502	1
503	4
504	5
505	5
506	6
507	3
