Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\Absorbanter\Day 3\Absorber2\Absorber2.mca
Description:  
TimeStamp:  11/25/2019 13:32:58

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	48
40	70
41	70
42	69
43	69
44	69
45	65
46	66
47	83
48	63
49	72
50	62
51	75
52	57
53	53
54	47
55	61
56	58
57	59
58	58
59	61
60	60
61	47
62	57
63	41
64	46
65	42
66	49
67	39
68	54
69	40
70	40
71	43
72	39
73	41
74	35
75	34
76	30
77	48
78	28
79	35
80	41
81	34
82	25
83	21
84	20
85	33
86	33
87	25
88	26
89	21
90	26
91	28
92	20
93	20
94	23
95	31
96	26
97	13
98	33
99	17
100	20
101	20
102	16
103	20
104	19
105	18
106	14
107	13
108	13
109	23
110	17
111	14
112	13
113	5
114	9
115	3
116	10
117	15
118	8
119	13
120	10
121	15
122	9
123	15
124	10
125	7
126	6
127	9
128	9
129	9
130	8
131	13
132	6
133	4
134	6
135	8
136	8
137	11
138	11
139	9
140	12
141	7
142	10
143	8
144	6
145	6
146	12
147	6
148	7
149	6
150	7
151	9
152	6
153	5
154	4
155	5
156	7
157	7
158	5
159	2
160	9
161	6
162	2
163	7
164	7
165	9
166	6
167	7
168	7
169	6
170	6
171	2
172	2
173	2
174	3
175	3
176	6
177	2
178	6
179	4
180	3
181	0
182	3
183	5
184	2
185	2
186	2
187	6
188	9
189	3
190	3
191	3
192	3
193	2
194	1
195	1
196	4
197	2
198	5
199	2
200	3
201	5
202	4
203	2
204	4
205	2
206	4
207	8
208	5
209	4
210	4
211	1
212	2
213	5
214	4
215	3
216	4
217	3
218	3
219	2
220	4
221	0
222	3
223	7
224	2
225	3
226	3
227	2
228	5
229	2
230	9
231	1
232	4
233	0
234	5
235	3
236	8
237	4
238	2
239	9
240	3
241	3
242	7
243	4
244	4
245	3
246	3
247	5
248	4
249	3
250	2
251	8
252	4
253	1
254	11
255	36
256	62
257	141
258	208
259	292
260	341
261	301
262	187
263	103
264	56
265	16
266	7
267	9
268	14
269	12
270	13
271	13
272	14
273	14
274	17
275	11
276	16
277	23
278	25
279	29
280	29
281	23
282	33
283	72
284	133
285	203
286	297
287	380
288	384
289	350
290	219
291	143
292	78
293	26
294	24
295	8
296	12
297	2
298	11
299	11
300	14
301	7
302	9
303	10
304	14
305	13
306	11
307	13
308	17
309	12
310	20
311	18
312	12
313	18
314	17
315	19
316	18
317	16
318	21
319	20
320	18
321	16
322	18
323	15
324	18
325	25
326	19
327	23
328	30
329	32
330	22
331	29
332	35
333	20
334	28
335	36
336	36
337	30
338	31
339	28
340	36
341	34
342	38
343	35
344	35
345	41
346	38
347	39
348	36
349	46
350	45
351	47
352	56
353	48
354	49
355	55
356	53
357	62
358	54
359	63
360	65
361	68
362	58
363	77
364	79
365	56
366	66
367	94
368	76
369	83
370	80
371	77
372	96
373	79
374	94
375	65
376	68
377	98
378	106
379	79
380	119
381	95
382	97
383	112
384	104
385	87
386	96
387	106
388	114
389	122
390	93
391	123
392	131
393	153
394	112
395	131
396	123
397	127
398	143
399	131
400	119
401	148
402	136
403	138
404	158
405	138
406	125
407	155
408	151
409	148
410	151
411	164
412	162
413	162
414	169
415	194
416	174
417	164
418	175
419	175
420	182
421	211
422	194
423	177
424	182
425	218
426	205
427	196
428	179
429	211
430	199
431	198
432	212
433	218
434	201
435	194
436	232
437	226
438	209
439	234
440	250
441	205
442	256
443	216
444	215
445	232
446	260
447	232
448	243
449	267
450	252
451	272
452	241
453	262
454	270
455	251
456	280
457	274
458	271
459	266
460	280
461	309
462	292
463	288
464	287
465	311
466	268
467	265
468	288
469	281
470	295
471	297
472	313
473	296
474	317
475	272
476	296
477	323
478	302
479	323
480	301
481	323
482	335
483	344
484	320
485	294
486	323
487	328
488	331
489	320
490	356
491	332
492	369
493	329
494	376
495	336
496	353
497	361
498	364
499	338
500	359
501	363
502	379
503	321
504	352
505	375
506	342
507	356
