Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\Absorbanter\Day 3\Absorber1\Absorber1.mca
Description:  
TimeStamp:  11/25/2019 11:33:28

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	44
40	71
41	58
42	52
43	60
44	86
45	63
46	60
47	73
48	54
49	66
50	51
51	53
52	64
53	46
54	56
55	57
56	52
57	44
58	50
59	56
60	47
61	44
62	49
63	64
64	53
65	51
66	60
67	56
68	46
69	51
70	54
71	54
72	46
73	58
74	48
75	49
76	36
77	37
78	38
79	51
80	56
81	41
82	53
83	36
84	36
85	39
86	42
87	25
88	42
89	37
90	41
91	36
92	43
93	37
94	34
95	35
96	31
97	35
98	31
99	30
100	34
101	26
102	28
103	25
104	30
105	26
106	26
107	32
108	35
109	21
110	17
111	24
112	27
113	22
114	23
115	22
116	16
117	21
118	19
119	14
120	14
121	18
122	11
123	12
124	17
125	14
126	21
127	15
128	18
129	9
130	15
131	14
132	5
133	10
134	12
135	12
136	11
137	7
138	12
139	14
140	11
141	9
142	14
143	5
144	8
145	10
146	5
147	8
148	6
149	9
150	7
151	8
152	8
153	7
154	6
155	4
156	10
157	6
158	4
159	4
160	3
161	6
162	7
163	0
164	4
165	6
166	4
167	6
168	6
169	3
170	6
171	4
172	10
173	9
174	6
175	6
176	5
177	3
178	7
179	6
180	4
181	4
182	4
183	5
184	1
185	4
186	1
187	2
188	3
189	4
190	1
191	2
192	6
193	8
194	6
195	4
196	2
197	2
198	5
199	2
200	2
201	6
202	5
203	6
204	6
205	8
206	6
207	7
208	3
209	9
210	4
211	3
212	7
213	2
214	6
215	5
216	7
217	5
218	3
219	2
220	6
221	4
222	3
223	2
224	6
225	6
226	3
227	2
228	8
229	4
230	7
231	3
232	5
233	8
234	4
235	2
236	9
237	7
238	12
239	5
240	11
241	4
242	9
243	7
244	11
245	3
246	10
247	8
248	7
249	15
250	12
251	15
252	12
253	34
254	50
255	146
256	324
257	673
258	1041
259	1527
260	1745
261	1432
262	1012
263	563
264	300
265	128
266	68
267	44
268	34
269	45
270	33
271	36
272	53
273	48
274	53
275	49
276	60
277	63
278	72
279	97
280	90
281	101
282	122
283	244
284	475
285	803
286	1165
287	1378
288	1390
289	1273
290	891
291	494
292	225
293	104
294	51
295	23
296	15
297	14
298	12
299	15
300	11
301	18
302	25
303	15
304	21
305	14
306	29
307	30
308	24
309	18
310	24
311	25
312	22
313	19
314	19
315	25
316	33
317	23
318	29
319	23
320	21
321	35
322	25
323	32
324	31
325	34
326	35
327	34
328	52
329	46
330	35
331	37
332	36
333	39
334	44
335	46
336	36
337	33
338	50
339	56
340	41
341	65
342	53
343	64
344	52
345	55
346	58
347	54
348	61
349	62
350	53
351	60
352	71
353	65
354	69
355	73
356	56
357	78
358	82
359	77
360	86
361	71
362	72
363	96
364	81
365	101
366	77
367	78
368	95
369	97
370	92
371	114
372	98
373	123
374	119
375	96
376	121
377	114
378	116
379	123
380	106
381	107
382	139
383	122
384	127
385	165
386	117
387	130
388	135
389	139
390	139
391	130
392	141
393	140
394	137
395	146
396	136
397	156
398	164
399	155
400	179
401	155
402	159
403	188
404	182
405	205
406	190
407	186
408	211
409	195
410	201
411	194
412	202
413	187
414	234
415	195
416	197
417	220
418	199
419	193
420	228
421	213
422	194
423	228
424	222
425	228
426	262
427	203
428	214
429	235
430	239
431	243
432	238
433	266
434	238
435	245
436	277
437	271
438	249
439	292
440	246
441	273
442	267
443	238
444	284
445	289
446	292
447	263
448	298
449	295
450	299
451	282
452	309
453	340
454	287
455	310
456	302
457	296
458	317
459	293
460	333
461	312
462	297
463	332
464	335
465	340
466	333
467	343
468	337
469	312
470	308
471	326
472	324
473	348
474	341
475	319
476	365
477	353
478	353
479	376
480	379
481	349
482	372
483	344
484	371
485	369
486	367
487	364
488	360
489	373
490	359
491	374
492	394
493	395
494	397
495	357
496	428
497	410
498	401
499	389
500	422
501	391
502	367
503	436
504	418
